limiar_denominador_abs,preditor,variavel_x,variavel_y,hipotese,metodo,n,r,interpretacao_forca,ic_95_inferior,ic_95_superior,p_valor,significativo_bonferroni,tendencia_marginal
0,ICT municipal (2024),ICT_2024,I_rec,Maior infraestrutura tecnologica acelerou a recuperacao.,spearman,853,0.1591,Correlacao fraca,0.0944,0.2258,3.024076058736533e-06,True,False
0,% escolas com banda larga (2024),pct_banda_2024,I_rec,Conectividade de qualidade favoreceu a recuperacao.,spearman,853,0.0814,Correlacao desprezivel,0.0129,0.1492,0.017354498844315613,False,True
0,% escolas estaduais (2024),pct_estadual_2024,I_rec,Dependencia administrativa influenciou o ritmo de recuperacao.,spearman,853,-0.1091,Correlacao fraca,-0.1765,-0.0408,0.0014154264928228518,True,False
0,% escolas urbanas (2024),pct_urbana_2024,I_rec,Localizacao urbana favoreceu a retomada mais rapida.,spearman,853,0.1716,Correlacao fraca,0.1061,0.2321,4.577123847690711e-07,True,False
20,ICT municipal (2024),ICT_2024,I_rec,Maior infraestrutura tecnologica acelerou a recuperacao.,spearman,688,0.1738,Correlacao fraca,0.102,0.2484,4.535170242249312e-06,True,False
20,% escolas com banda larga (2024),pct_banda_2024,I_rec,Conectividade de qualidade favoreceu a recuperacao.,spearman,688,0.1177,Correlacao fraca,0.0423,0.1919,0.001979197672196324,True,False
20,% escolas estaduais (2024),pct_estadual_2024,I_rec,Dependencia administrativa influenciou o ritmo de recuperacao.,spearman,688,-0.1635,Correlacao fraca,-0.2377,-0.0877,1.64124636795272e-05,True,False
20,% escolas urbanas (2024),pct_urbana_2024,I_rec,Localizacao urbana favoreceu a retomada mais rapida.,spearman,688,0.207,Correlacao fraca,0.1376,0.279,4.304469248497596e-08,True,False
50,ICT municipal (2024),ICT_2024,I_rec,Maior infraestrutura tecnologica acelerou a recuperacao.,spearman,526,0.2427,Correlacao fraca,0.1551,0.327,1.7236260195454457e-08,True,False
50,% escolas com banda larga (2024),pct_banda_2024,I_rec,Conectividade de qualidade favoreceu a recuperacao.,spearman,526,0.1516,Correlacao fraca,0.0717,0.2402,0.0004838361039874476,True,False
50,% escolas estaduais (2024),pct_estadual_2024,I_rec,Dependencia administrativa influenciou o ritmo de recuperacao.,spearman,526,-0.1834,Correlacao fraca,-0.2651,-0.1072,2.303937941744889e-05,True,False
50,% escolas urbanas (2024),pct_urbana_2024,I_rec,Localizacao urbana favoreceu a retomada mais rapida.,spearman,526,0.1873,Correlacao fraca,0.1017,0.2747,1.5381993106819867e-05,True,False
100,ICT municipal (2024),ICT_2024,I_rec,Maior infraestrutura tecnologica acelerou a recuperacao.,spearman,333,0.2477,Correlacao fraca,0.1471,0.3506,4.759949866112594e-06,True,False
100,% escolas com banda larga (2024),pct_banda_2024,I_rec,Conectividade de qualidade favoreceu a recuperacao.,spearman,333,0.171,Correlacao fraca,0.064,0.2778,0.0017334262957499499,True,False
100,% escolas estaduais (2024),pct_estadual_2024,I_rec,Dependencia administrativa influenciou o ritmo de recuperacao.,spearman,333,-0.1719,Correlacao fraca,-0.2711,-0.0716,0.0016365106185662905,True,False
100,% escolas urbanas (2024),pct_urbana_2024,I_rec,Localizacao urbana favoreceu a retomada mais rapida.,spearman,333,0.239,Correlacao fraca,0.1315,0.3403,1.0385553400088388e-05,True,False
200,ICT municipal (2024),ICT_2024,I_rec,Maior infraestrutura tecnologica acelerou a recuperacao.,spearman,188,0.2459,Correlacao fraca,0.0908,0.3866,0.000670776241657613,True,False
200,% escolas com banda larga (2024),pct_banda_2024,I_rec,Conectividade de qualidade favoreceu a recuperacao.,spearman,188,0.1692,Correlacao fraca,0.0228,0.3191,0.020238529667179216,False,True
200,% escolas estaduais (2024),pct_estadual_2024,I_rec,Dependencia administrativa influenciou o ritmo de recuperacao.,spearman,188,-0.1454,Correlacao fraca,-0.2764,-0.0129,0.04649336398050348,False,True
200,% escolas urbanas (2024),pct_urbana_2024,I_rec,Localizacao urbana favoreceu a retomada mais rapida.,spearman,188,0.2698,Correlacao fraca,0.132,0.4018,0.00018062268266310207,True,False
